ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM
SBVG,MG0019,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,,[]
SBVH,RO0003,VILHENA,VILHENA,RO,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1302/2018', 'texto1': '- Modificação no horário de serviço deverá ser solicitado ao Centro de Informação de Aeródromo Amazônico (CIVA-AZ) no mínimo 24 horas antes do início da alteração desejada, salvo os casos previstos no MCA 1027 do DECEA, por intermédio do e-mail civa.az.cindacta4@fab.mil.br, sendo compulsória a coordenação e confirmação da autorização pelo tel. (92) 3652-5488 antes da apresentação do Plano de voo.', 'texto2': 'Duração:'}, {'badge_info': 'N0151 | 16/08/18', 'titulo': 'SERVIÇO DE INFORMAÇÃO DE VOO DE AERÓDROMO', 'texto1': '- Modificação no horário de serviço deverá ser solicitado ao Centro de Informação de Aeródromo Amazônico (CIVA-AZ) no mínimo 24 horas antes do início da alteração desejada, salvo os casos previstos no MCA 1027 do DECEA, por intermédio do e-mail civa.az.cindacta4@fab.mil.br, sendo compulsória a coordenação e confirmação da autorização pelo tel. (92) 3652-5488 antes da apresentação do Plano de voo.', 'texto2': '\n  \tPeríodo: De 16 de agosto de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP ENR 2.1\n\n'}, {'badge_info': 'N0113 | 17/08/17', 'titulo': 'INDICADOR DE DIREÇÃO DO VENTO', 'texto1': '- Indicador de direção do vento iluminado instalado.', 'texto2': '\n  \tPeríodo: De 17 de agosto de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP\n\n'}, {'badge_info': 'G0223/19', 'titulo': ' N 26/02/2019 00:43', 'texto2': '26/02/19 00:43 a 27/03/19 23:59 UTC'}, {'badge_info': 'G0195/19', 'titulo': ' N 18/02/2019 15:56', 'texto2': '18/02/19 15:56 a 19/03/19 23:59 UTC'}, {'badge_info': 'Z0948/18', 'titulo': ' N 04/06/2018 17:07', 'texto2': '15/06/18 11:00 a PERM'}, {'badge_info': 'Z0637/18', 'titulo': ' N 29/03/2018 20:29', 'texto2': '02/04/18 11:00 a PERM'}]"
SBVT,ES0001,Eurico de Aguiar Salles,VITÓRIA,ES,,"[{'badge_info': 'N0021 | 31/01/19', 'titulo': 'PISTA', 'texto1': '- Pista 20 proibido pouso de aeronave turbo-jato.\n\n1) Dias e horários: H24', 'texto2': '\n  \tPeríodo: De 31 de janeiro de 2019, 0000 UTC até 07 de novembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.12 (RPLC NOTAM B1651/18)\n\n'}, {'badge_info': 'N0011 | 03/01/19', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': '- IAP RNAV (RNP) R RWY 06 modificado. \n\n1) Altitude mínima no VT032 de 4000 FT para 4500 FT\n2) Distância entre a RWY 06 e o waypoint VT094 de 8.4NM para 7.7NM', 'texto2': '\n  \tPeríodo: De 03 de janeiro de 2019, 0000 UTC até 03 de janeiro de 2021, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'N0012 | 03/01/19', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': '- IAP RNAV (RNP) X RWY 20 modificado. \n1) Distância entre a RWY 20 e o waypoint VT079 de 6.2NM para 5.1NM\nReferência: AIP', 'texto2': '\n  \tPeríodo: De 03 de janeiro de 2019, 0000 UTC até 03 de janeiro de 2021, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'N0118 | 21/06/18', 'titulo': 'ATIVIDADES AERO DESPORTIVAS', 'texto1': '- Uso do espaço aéreo não autorizado: voo de parapente (tripulado) centro coordenadas 201933,73S/0401637,61W (VILA VELHA, ES) raio aproximado 600M e limite vertical aproximado SFC/1000FT AGL.', 'texto2': '\n  \tPeríodo: De 21 de junho de 2018, 0000 UTC até 20 de junho de 2019, 2359 UTC.\n\tRef: AIP ENR 5.5\n\n'}, {'badge_info': 'B0270/19', 'titulo': ' N 27/02/2019 20:54', 'texto2': '25/03/19 03:45 a 06/04/19 08:10 UTC'}, {'badge_info': 'B0251/19', 'titulo': ' R B1886/18 25/02/2019 18:08', 'texto2': '25/02/19 18:08 a 26/04/19 19:00 UTC'}, {'badge_info': 'Z0114/19', 'titulo': ' N 14/02/2019 12:51', 'texto2': '14/02/19 12:51 a PERM'}, {'badge_info': 'B0151/19', 'titulo': ' R B0107/19 04/02/2019 17:06', 'texto2': 'SFC'}, {'badge_info': 'B0108/19', 'titulo': ' N 29/01/2019 18:09', 'texto2': 'SFC'}, {'badge_info': 'B1908/18', 'titulo': ' N 27/12/2018 23:03', 'texto2': '300FT AMSL'}, {'badge_info': 'Z2056/18', 'titulo': ' N 19/11/2018 20:06', 'texto2': '19/11/18 20:06 a PERM'}, {'badge_info': 'Z2044/18', 'titulo': ' N 14/11/2018 16:27', 'texto2': '14/11/18 16:27 a PERM'}, {'badge_info': 'Z2036/18', 'titulo': ' N 13/11/2018 16:42', 'texto2': '13/11/18 16:42 a PERM'}, {'badge_info': 'Z1973/18', 'titulo': ' N 08/11/2018 00:25', 'texto2': '08/11/18 00:25 a PERM'}, {'badge_info': 'Z1467/18', 'titulo': ' N 19/09/2018 18:31', 'texto2': '26/09/18 00:00 a PERM'}, {'badge_info': 'Z0733/18', 'titulo': ' R Z0616/18 19/04/2018 18:52', 'texto2': '19/04/18 18:53 a PERM'}]"
SBZM,MG0006,Presidente Itamar Franco,GOIANÁ,MG,,"[{'badge_info': 'E0310/19', 'titulo': ' N 14/02/2019 17:18', 'texto2': '25/02/19 00:00 a 25/05/19 23:59 UTC'}, {'badge_info': 'E0238/19', 'titulo': ' R E0172/19 06/02/2019 19:08', 'texto2': '06/02/19 19:08 a 06/05/19 23:59 UTC'}, {'badge_info': 'E0237/19', 'titulo': ' R E0170/19 06/02/2019 19:02', 'texto2': '06/02/19 19:02 a 06/05/19 23:59 UTC'}, {'badge_info': 'E0140/19', 'titulo': ' R E2592/18 24/01/2019 16:58', 'texto2': '26/01/19 14:00 a 21/04/19 13:00 UTC'}, {'badge_info': 'Z2153/18', 'titulo': ' R Z0440/18 13/12/2018 19:00', 'texto2': '13/12/18 19:00 a PERM'}, {'badge_info': 'Z2152/18', 'titulo': ' R Z0439/18 13/12/2018 18:58', 'texto2': '13/12/18 18:58 a PERM'}]"
SDAA,SP0045,Araras,ARARAS,SP,,"{'badge_info': 'Z2175/18', 'titulo': ' R Z1990/18 19/12/2018 15:10', 'texto2': 'FL055'}"
SDAD,SP0095,Everaldo Moraes Barreto,ADAMANTINA,SP,,[]
SDAE,SP0053,São Pedro,SÃO PEDRO,SP,,"[{'badge_info': 'E0105/19', 'titulo': ' N 21/01/2019 23:04', 'texto2': 'SFC'}, {'badge_info': 'Z2176/18', 'titulo': ' R Z1991/18 19/12/2018 15:59', 'texto2': 'FL055'}]"
SDAG,RJ0010,Angra dos Reis,ANGRA DOS REIS,RJ,,[]
SDAI,SP0047,Americana,AMERICANA,SP,,[]
SDAM,SP0037,Estadual de Campos dos Amarais - Prefeito Francisco Amaral,CAMPINAS,SP,,"[{'badge_info': 'D0247/19', 'titulo': ' R D0203/19 21/02/2019 16:59', 'texto2': '17/03/19 12:00 a 17/03/19 19:00 UTC'}, {'badge_info': 'Z0003/18', 'titulo': ' R Z4041/17 03/01/2018 11:28', 'texto2': '03/01/18 11:30 a PERM'}]"
SDBA,SP0099,Batatais,BATATAIS,SP,,"{'badge_info': 'Z3943/17', 'titulo': ' N 14/11/2017 17:53', 'texto2': '14/11/17 17:40 a PERM'}"
SDBB,SP0018,Bebedouro,BEBEDOURO,SP,,[]
SDBK,SP0019,Botucatu,BOTUCATU,SP,,[]
SDBY,SP0032,Bariri,BARIRI,SP,,[]
SDCA,SP0122,Capão Bonito,CAPÃO BONITO,SP,,[]
SDCG,AM0016,Senadora Eunice Micheles,SÃO PAULO DE OLIVENÇA,AM,,"{'badge_info': 'G1460/18', 'titulo': ' N 19/12/2018 17:44', 'texto2': '28/12/18 00:00 a 25/03/19 23:59 UTC'}"
SDCO,SP0027,Sorocaba,SOROCABA,SP,,"[{'badge_info': 'Z0727/18', 'titulo': ' N 17/04/2018 14:35', 'texto2': '01/05/18 00:00 a PERM'}, {'badge_info': 'Z4532/16', 'titulo': ' N 01/12/2016 13:13', 'texto2': '01/12/16 13:13 a PERM'}]"
SDDN,SP0020,ANDRADINA,ANDRADINA,SP,,"{'badge_info': 'E2885/18', 'titulo': ' N 20/12/2018 17:04', 'texto2': '31/12/18 00:00 a 30/03/19 23:59 UTC'}"
SDDR,SP0021,Dracena,DRACENA,SP,,[]
SDEP,SP0052,Pres. Epitácio,PRESIDENTE EPITÁCIO,SP,,[]
SDET,SP0012,Tietê,TIETÊ,SP,,"{'badge_info': 'E2839/18', 'titulo': ' R E2009/18 17/12/2018 19:18', 'texto2': 'GND'}"
SDFD,SP0054,Coronel Aviador Carlos Orleans Guimarães,FERNANDÓPOLIS,SP,,"{'badge_info': 'F0371/19', 'titulo': ' N 26/02/2019 23:44', 'texto2': '09/04/19 00:00 a 16/04/19 23:59 UTC'}"
SDFX,BA0054,Casa Nova,CASA NOVA,BA,,[]
SDGC,SP0055,GARCA,GARÇA,SP,,[]
SDGR,SP0074,Guararapes,GUARARAPES,SP,,[]
SDIG,SP0038,Ibitinga,IBITINGA,SP,,[]
SDIM,SP0033,Itanhaém,ITANHAÉM,SP,,"[{'badge_info': 'D0252/19', 'titulo': ' R D0216/19 22/02/2019 11:23', 'texto2': '22/02/19 11:23 a 01/03/19 20:00 UTC'}, {'badge_info': 'Z0803/18', 'titulo': ' R Z0802/18 25/04/2018 14:04', 'texto2': '02/05/18 00:00 a PERM'}, {'badge_info': 'Z0014/18', 'titulo': ' N 11/01/2018 11:12', 'texto2': '11/01/18 11:13 a PERM'}]"
SDIV,SP0056,Ituverava,ITUVERAVA,SP,,[]
SDJC,SP0158,Jaboticabal,JABOTICABAL,SP,,"{'badge_info': 'F0231/19', 'titulo': ' N 04/02/2019 17:19', 'texto2': 'SFC'}"
SDJO,SP0010,São Joaquim da Barra,SÃO JOAQUIM DA BARRA,SP,,"[{'badge_info': 'INFOTEMP 1024/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 1023/2018', 'titulo': '', 'texto2': 'Duração:'}]"
SDJV,SP0035,Municipal de São João da Boa Vista,SÃO JOÃO DA BOA VISTA,SP,,[]
SDKE,,,,, O aeródromo não foi encontrado. ,[]
SDKF,BA0053,Juazeiro,CURAÇÁ,BA,,[]
SDKJ,BA0025,Formosa do Rio Preto,FORMOSA DO RIO PRETO,BA,,[]
SDKK,SP0058,Mococa,MOCOCA,SP,,"{'badge_info': 'F0362/19', 'titulo': ' N 26/02/2019 19:05', 'texto2': 'SFC'}"
SDLC,SP0039,Lucélia,LUCÉLIA,SP,,[]
SDLE,BA0038,Rio de Contas,RIO DE CONTAS,BA,,[]
SDLI,,,,, O aeródromo não foi encontrado. ,[]
SDLK,BA0016,Caculé,CACULÉ,BA,,[]
SDLL,SP0048,Leme,LEME,SP,,[]
SDLP,SP0147,Municipal José Boso,LENÇÓIS PAULISTA,SP,,[]
SDLY,SP0071,Matão,MATÃO,SP,,"{'badge_info': 'F0291/19', 'titulo': ' N 19/02/2019 20:20', 'texto2': '19/02/19 20:20 a 18/05/19 23:59 UTC'}"
SDMC,,,,, O aeródromo não foi encontrado. ,[]
SDMH,SP0202,Mirassol,MIRASSOL,SP,,[]
SDMJ,SP0022,Mogi-mirim,MOGI MIRIM,SP,,[]
SDMO,SP0068,MONTE ALTO,MONTE ALTO,SP,,"{'badge_info': 'Z0747/18', 'titulo': ' R Z0746/18 21/04/2018 03:07', 'texto2': '21/04/18 03:08 a PERM'}"
SDNH,SP0204,Novo Horizonte,NOVO HORIZONTE,SP,,[]
SDNO,SP0061,Nelson Garófalo,SÃO MANUEL,SP,,[]
SDOU,SP0108,Aeroporto Estadual de Ourinhos,OURINHOS,SP,,[]
SDOV,GO0013,Mozarlândia,MOZARLÂNDIA,GO,,[]
SDOW,PA0021,Ourilândia do Norte,OURILÂNDIA DO NORTE,PA,,[]
SDPD,SP0072,Pindamonhangaba,PINDAMONHANGABA,SP,,[]
SDPN,SP0024,Penápolis,PENÁPOLIS,SP,,"{'badge_info': 'Z4056/17', 'titulo': ' N 05/12/2017 15:46', 'texto2': '05/12/17 15:43 a PERM'}"
SDPV,SP0040,Pres. Venceslau,PRESIDENTE VENCESLAU,SP,,[]
SDPW,SP0041,Piracicaba,PIRACICABA,SP,,"[{'badge_info': 'E2775/18', 'titulo': ' R E2586/18 10/12/2018 19:01', 'texto2': 'SFC'}, {'badge_info': 'Z1346/18', 'titulo': ' N 17/08/2018 13:17', 'texto2': '17/08/18 13:17 a PERM'}, {'badge_info': 'Z1345/18', 'titulo': ' N 16/08/2018 19:02', 'texto2': '16/08/18 19:02 a PERM'}]"
SDPY,SP0066,Pirassununga,PIRASSUNUNGA,SP,,[]
SDRK,SP0007,Rio Claro,RIO CLARO,SP,,"[{'badge_info': 'F0276/19', 'titulo': ' N 15/02/2019 13:48', 'texto2': '15/02/19 13:48 a 16/03/19 23:59 UTC'}, {'badge_info': 'Z2181/18', 'titulo': ' R Z1994/18 19/12/2018 18:24', 'texto2': 'FL055'}, {'badge_info': 'F2478/18', 'titulo': ' R F2205/18 18/12/2018 18:59', 'texto2': 'SFC'}, {'badge_info': 'F2476/18', 'titulo': ' R F2232/18 18/12/2018 18:20', 'texto2': 'SFC'}, {'badge_info': 'Z2103/18', 'titulo': ' R Z2101/18 03/12/2018 15:37', 'texto2': '03/12/18 15:37 a PERM'}, {'badge_info': 'Z1018/18', 'titulo': ' N 12/06/2018 14:04', 'texto2': '19/06/18 00:00 a PERM'}]"
SDRR,SP0113,Avaré-Arandu,AVARÉ,SP,,[]
SDRS,RJ0007,Resende,RESENDE,RJ,,"{'badge_info': 'E2872/18', 'titulo': ' R E2408/18 19/12/2018 23:06', 'texto2': 'GND'}"
SDSC,SP0029,Mário Pereira Lopes,SÃO CARLOS,SP,,"[{'badge_info': 'Z2178/18', 'titulo': ' R Z1992/18 19/12/2018 16:43', 'texto2': 'FL055'}, {'badge_info': 'Z1859/18', 'titulo': ' N 18/10/2018 13:35', 'texto2': '18/10/18 13:35 a PERM'}]"
SBSO,MT0005,AEROPORTO REGIONAL DE SORRISO ADOLINO BEDIN,SORRISO,MT,,"[{'badge_info': 'Z0085/19', 'titulo': ' R Z1299/17 01/02/2019 21:21', 'texto2': '01/02/19 21:21 a PERM'}, {'badge_info': 'G0096/19', 'titulo': ' N 24/01/2019 13:24', 'texto2': '18/02/19 11:00 a 17/05/19 22:00 UTC'}, {'badge_info': 'G0095/19', 'titulo': ' N 24/01/2019 12:58', 'texto2': '18/02/19 11:00 a 17/05/19 22:00 UTC'}, {'badge_info': 'G0094/19', 'titulo': ' N 24/01/2019 12:57', 'texto2': '18/02/19 11:00 a 17/05/19 22:00 UTC'}, {'badge_info': 'Z2058/18', 'titulo': ' N 21/11/2018 17:21', 'texto2': 'GND'}, {'badge_info': 'Z1304/18', 'titulo': ' R Z0882/18 31/07/2018 17:05', 'texto2': '31/07/18 17:05 a PERM'}, {'badge_info': 'Z3709/17', 'titulo': ' N 20/10/2017 19:11', 'texto2': '20/10/17 19:09 a PERM'}]"
SDTB,SP0069,ATIBAIA,ATIBAIA,SP,,[]
SDTF,SP0050,Tatuí,TATUÍ,SP,,[]
SDTI,SP0073,Tupi Paulista,TUPI PAULISTA,SP,,"{'badge_info': 'E0314/19', 'titulo': ' N 14/02/2019 22:41', 'texto2': '14/02/19 22:41 a 12/05/19 23:59 UTC'}"
SDTK,RJ0011,Parati,PARATY,RJ,,"{'badge_info': 'D0198/19', 'titulo': ' N 12/02/2019 13:48', 'texto2': 'SFC'}"
SDTP,SP0025,José Vicente Faria Lima,TUPÃ,SP,,"[{'badge_info': 'Z0392/18', 'titulo': ' N 14/02/2018 18:48', 'texto2': '14/02/18 18:49 a PERM'}, {'badge_info': 'Z0382/18', 'titulo': ' N 08/02/2018 14:02', 'texto2': '08/02/18 14:03 a PERM'}, {'badge_info': 'Z0380/18', 'titulo': ' N 08/02/2018 13:55', 'texto2': '08/02/18 13:56 a PERM'}]"
SDUB,SP0065,Ubatuba,UBATUBA,SP,,"[{'badge_info': 'D0197/19', 'titulo': ' N 11/02/2019 19:37', 'texto2': 'SFC'}, {'badge_info': 'D2172/18', 'titulo': ' N 20/12/2018 14:16', 'texto2': '20/12/18 14:16 a 18/03/19 23:59 UTC'}]"
SDUN,RJ0008,Itaperuna,ITAPERUNA,RJ,,[]
SDUQ,SP0042,PARAGUACU PAULISTA ,PARAGUAÇU PAULISTA,SP,,[]
SDVE,SP0070,Vera Cruz,VERA CRUZ,SP,,[]
SDVG,SP0026,Votuporanga,VOTUPORANGA,SP,,[]
SDWQ,PA0027,Alenquer,ALENQUER,PA,,[]
SDXB,,,,, O aeródromo não foi encontrado. ,[]
SDXF,GO0020,Alto Paraíso,ALTO PARAÍSO DE GOIÁS,GO,,"[{'badge_info': 'F2505/18', 'titulo': ' R F1869/18 21/12/2018 01:14', 'texto2': 'SFC'}, {'badge_info': 'Z0887/18', 'titulo': ' N 15/05/2018 18:27', 'texto2': '23/05/18 00:00 a PERM'}]"
SDXJ,MS0017,Costa Rica,COSTA RICA,MS,,[]
SDYW,,,,, O aeródromo não foi encontrado. ,[]
SDZG,CE0007,Pedro Teixeira Castelo Regional Tauá,TAUÁ,CE,,[]
SIBU,PB0012,AERÓDROMO PÚBLICO DE CATOLÉ DO ROCHA,CATOLÉ DO ROCHA,PB,,"{'badge_info': 'B1804/18', 'titulo': ' N 03/12/2018 21:43', 'texto2': '10/12/18 08:09 a 08/03/19 20:47 UTC'}"
SIBW,,,,, O aeródromo não foi encontrado. ,[]
SIBY,PB0009,Monteiro,MONTEIRO,PB,,"{'badge_info': 'B1855/18', 'titulo': ' N 17/12/2018 22:41', 'texto2': '01/01/19 08:15 a 31/03/19 20:33 UTC'}"
SIBZ,PB0010,AERÓDROMO PÚBLICO DE ITAPORANGA,ITAPORANGA,PB,,"{'badge_info': 'B1803/18', 'titulo': ' N 03/12/2018 20:06', 'texto2': '10/12/18 08:09 a 08/03/19 20:48 UTC'}"
SICA,,,,, O aeródromo não foi encontrado. ,[]
SICB,,,,, O aeródromo não foi encontrado. ,[]
SILC,MT0025,Municipal Bom Futuro,LUCAS DO RIO VERDE,MT,,[]
SIMK,SP0011,Tenente Lund Pressoto,FRANCA,SP,,"[{'badge_info': 'INFOTEMP 1007/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'F0315/19', 'titulo': ' N 20/02/2019 23:04', 'texto2': 'SFC'}]"
SIZX,MT0018,Juara Sul,JUARA,MT,,[]
SJAU,TO0007,Araguacema,ARAGUACEMA,TO,,[]
SJBY,MA0019,Jõao Silva,SANTA INÊS,MA,,[]
SJGU,TO0005,Araguatins,ARAGUATINS,TO,,[]
SBJA,SC0005,Regional Sul,JAGUARUNA,SC,,"[{'badge_info': 'N0138 | 19/07/18', 'titulo': 'INFORMAÇÕES ADICIONAIS', 'texto1': '- Concentração de pássaros na pista 05/23. \n\n1) Dias e horários: diariamente 2100 - 0900 UTC.', 'texto2': '\n  \tPeríodo: De 19 de julho de 2018, 2100 UTC até 31 de dezembro de 2020, 0259 UTC.\n\tRef: AIP MAP ADC\n\n'}, {'badge_info': 'E0269/19', 'titulo': ' R E2677/18 11/02/2019 18:35', 'texto2': '11/02/19 18:35 a 11/05/19 23:59 UTC'}, {'badge_info': 'E0268/19', 'titulo': ' N 11/02/2019 18:33', 'texto2': '18/02/19 00:00 a 11/05/19 23:59 UTC'}, {'badge_info': 'E2860/18', 'titulo': ' N 19/12/2018 17:15', 'texto2': '01/01/19 00:00 a 28/03/19 23:59 UTC'}]"
SJNP,PA0026,Novo Progresso,NOVO PROGRESSO,PA,,[]
SJOG,RO0003,Ariquemes,ARIQUEMES,RO,,[]
SJQN,GO0010,Quirinópolis,QUIRINÓPOLIS,GO,,[]
SJRG,RS0013,Regional de Rio Grande,RIO GRANDE,RS,,"[{'badge_info': 'E0362/19', 'titulo': ' N 27/02/2019 14:21', 'texto2': '20/03/19 10:00 a 31/05/19 23:00 UTC'}, {'badge_info': 'Z1376/18', 'titulo': ' N 27/08/2018 17:02', 'texto2': '27/08/18 17:02 a PERM'}]"
SJTS,PA0028,Terra Santa,TERRA SANTA,PA,,[]
SJTZ,PA0022,Dom Eliseu,DOM ELISEU,PA,,[]
SJVO,GO0030,Aragarças,ARAGARÇAS,GO,,[]
SJZA,PB0004,Pedro Vieira Moreira,CAJAZEIRAS,PB,,"[{'badge_info': 'B1807/18', 'titulo': ' N 04/12/2018 15:49', 'texto2': '11/12/18 08:12 a 08/03/19 20:50 UTC'}, {'badge_info': 'Z1293/18', 'titulo': ' R Z0893/18 24/07/2018 20:11', 'texto2': '24/07/18 20:11 a PERM'}]"
SNAB,PE0005,Araripina,ARARIPINA,PE,,[]
SNAE,PE0007,Arcoverde,ARCOVERDE,PE,,[]
SNAG,MG0020,Araguari,ARAGUARI,MG,,"[{'badge_info': 'F0379/19', 'titulo': ' N 28/02/2019 15:27', 'texto2': '28/02/19 15:27 a 27/05/19 23:59 UTC'}, {'badge_info': 'F0267/19', 'titulo': ' R F2317/18 14/02/2019 13:50', 'texto2': '14/02/19 13:50 a 14/05/19 18:59 UTC'}]"
SNAL,AL0003,Arapiraca,ARAPIRACA,AL,,[]
SNAM,MG0052,Santo Antônio do Amparo,SANTO ANTÔNIO DO AMPARO,MG,,"[{'badge_info': 'F0204/19', 'titulo': ' N 30/01/2019 19:04', 'texto2': 'SFC'}, {'badge_info': 'F0167/19', 'titulo': ' R F0133/19 27/01/2019 23:32', 'texto2': 'SFC'}]"
SNAP,MG0021,Janaúba,JANAÚBA,MG,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1435/2018', 'texto2': 'Duração:'}"
SNAR,MG0032,Cirilo Queiróz,ALMENARA,MG,,[]
SNAS,MG0022,Três Marias,TRÊS MARIAS,MG,,[]
SBAC,CE0004,Aeroporto Regional de Aracati,ARACATI,CE,,"[{'badge_info': 'B0271/19', 'titulo': ' N 28/02/2019 17:38', 'texto2': '28/02/19 17:34 a 24/05/19 21:00 UTC'}, {'badge_info': 'Z1163/18', 'titulo': ' R Z0678/18 29/06/2018 16:00', 'texto2': '29/06/18 16:00 a PERM'}, {'badge_info': 'Z0822/18', 'titulo': ' N 27/04/2018 18:20', 'texto2': '27/04/18 18:21 a PERM'}]"
SNAX,SP0087,Marcelo Pires Halzhausen,ASSIS,SP,,[]
SNBA,SP0013,Chafei Amsei,BARRETOS,SP,,[]
SNBC,MA0006,Barra do Corda,BARRA DO CORDA,MA,,[]
SNBG,ES0002,Baixo Guandu-Aimorés,BAIXO GUANDU,ES,,"{'badge_info': 'B0050/19', 'titulo': ' N 17/01/2019 17:01', 'texto2': 'GND'}"
SNBI,MA0005,Bacabal,BACABAL,MA,,"{'badge_info': 'Z0880/18', 'titulo': ' R Z0442/18 15/05/2018 13:33', 'texto2': '15/05/18 13:34 a PERM'}"
SNBJ,,,,, O aeródromo não foi encontrado. ,[]
SNBL,,,,, O aeródromo não foi encontrado. ,[]
SNBM,MG0051,Cristiano Ferreira Varella,MURIAÉ,MG,,[]
SNBR,BA0029,Barreiras,BARREIRAS,BA,,"{'badge_info': 'B0167/19', 'titulo': ' N 06/02/2019 18:50', 'texto2': 'GND'}"
SNBS,MA0010,Balsas,BALSAS,MA,,[]
SNBX,BA0028,Barra,BARRA,BA,,[]
SNBZ,BA0008,Paramirim,PARAMIRIM,BA,,[]
SNCA,MG0021,Campo Belo,CAMPO BELO,MG,,"{'badge_info': 'F0149/19', 'titulo': ' N 27/01/2019 22:45', 'texto2': 'SFC'}"
SNCE,MG0061,Campo do Meio,CAMPO DO MEIO,MG,Aeródromo FECHADO até 31/10/19: INFOTEMP 1071/2018,"[{'badge_info': 'INFOTEMP 1071/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'F0142/19', 'titulo': ' N 27/01/2019 22:33', 'texto2': 'SFC'}]"
SNCS,CE0009,Campos Sales,CAMPOS SALES,CE,,[]
SNCT,MG0056,Caratinga,UBAPORANGA,MG,,[]
SNCU,,,,, O aeródromo não foi encontrado. ,[]
SNCV,MG0062,Campina Verde,CAMPINA VERDE,MG,Aeródromo FECHADO até 31/10/19: INFOTEMP 1074/2018,"{'badge_info': 'INFOTEMP 1074/2018', 'titulo': '', 'texto2': 'Duração:'}"
SNCX,ES0004,Aeródromo de Colatina,COLATINA,ES,,[]
SNCZ,MG0025,Ponte Nova,PONTE NOVA,MG,,[]
SNDC,PA0038,Redenção,REDENÇÃO,PA,,[]
SNDT,MG0030,Juscelino Kubitschek,DIAMANTINA,MG,,"{'badge_info': 'Z1333/18', 'titulo': ' N 14/08/2018 19:58', 'texto2': '14/08/18 19:58 a PERM'}"
SNDV,MG0068,Brigadeiro Antônio Cabral,DIVINÓPOLIS,MG,,"[{'badge_info': 'F0136/19', 'titulo': ' N 27/01/2019 22:13', 'texto2': 'SFC'}, {'badge_info': 'F0010/19', 'titulo': ' R F2007/18 02/01/2019 18:12', 'texto2': 'SFC'}, {'badge_info': 'F2396/18', 'titulo': ' N 06/12/2018 20:24', 'texto2': '06/12/18 20:22 a 06/03/19 00:00 UTC'}]"
SNDW,BA0043,Divisa,ENCRUZILHADA,BA,,[]
SNEB,PA0018,Paragominas,PARAGOMINAS,PA,,[]
SNED,BA0023,Sócrates Rezende,CANAVIEIRAS,BA,,[]
SNEE,RS0023,Vacaria Novo,VACARIA,RS,,[]
SNEU,BA0044,Euclides da Cunha,EUCLIDES DA CUNHA,BA,,[]
SNFE,MG0012,Alfenas,ALFENAS,MG,,"{'badge_info': 'F0155/19', 'titulo': ' N 27/01/2019 22:57', 'texto2': 'SFC'}"
SNFO,MG0060,FORMIGA,FORMIGA,MG,,"[{'badge_info': 'F0145/19', 'titulo': ' N 27/01/2019 22:37', 'texto2': 'SFC'}, {'badge_info': 'Z1188/18', 'titulo': ' N 04/07/2018 00:43', 'texto2': '04/07/18 00:43 a PERM'}]"
SNFU,MG0063,Frutal,FRUTAL,MG,,[]
SNFX,PA0013,São Félix do Xingu,SÃO FÉLIX DO XINGU,PA,,[]
SNGA,ES0007,Guarapari,GUARAPARI,ES,,"[{'badge_info': 'INFOTEMP 1299/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'B0007/19', 'titulo': ' R B1494/18 04/01/2019 09:32', 'texto2': 'SFC'}, {'badge_info': 'B1871/18', 'titulo': ' N 20/12/2018 18:36', 'texto2': '20/12/18 18:36 a 19/03/19 22:59 UTC'}]"
SNGB,,,,, O aeródromo não foi encontrado. ,[]
SNGD,PI0005,Guadalupe,GUADALUPE,PI,,[]
SNGG,PI0007,BOM JESUS DO GURGUÉIA,BOM JESUS,PI,,[]
SNGI,BA0027,Guanambi,GUANAMBI,BA,,"{'badge_info': 'B0072/19', 'titulo': ' R B0065/19 22/01/2019 18:31', 'texto2': '22/01/19 18:31 a 29/03/19 23:59 UTC'}"
SNGN,PE0006,Garanhuns,GARANHUNS,PE,,[]
SNGT,BA0029,Gentio do Ouro,GENTIO DO OURO,BA,,[]
